Sample Name,PC1,PC2,PC3,Title,OntologyID1,OntologyTerm1,OntologyID2,OntologyTerm2,OntologyID3,OntologyTerm3,Sample Size,Study Source,Ecosystem1,Ecosystem2,Ecosystem3
EKCF2.489571, 0.28001998792870075, -0.042449390645869396, -0.0056647112094695877, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 2673.0, , Anthropogenic, Unknown, Unknown
sterileswab9.22.481428, 0.28304074050938111, 0.061790329703860523, -0.068710831688332585, Lung_HIV_Microbiome_Project, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 16.0, , Animal/Human, Unknown, Unknown
H19Di.735897, -0.12902598345724772, 0.033381739997089654, 0.27761462144660581, Home Life: Factors structuring the bacterial diversity found within and between homes, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00000073, building, Unknown, Unknown, 17509.0, , Soil, Anthropogenic, Unknown
Tcul.7.1078787, -0.10891350548575286, 0.0046527715064232063, 0.013545292948473875, Identification of Household Bacterial Community and Analysis of Species Shared with Human Microbiome, ENVO:00000446, terrestrial biome, ENVO:00000856, city, Unknown, Unknown, 283.0, , Soil, Anthropogenic, Unknown
F21Knel.140372, 0.24654656912238071, 0.12060368153805216, 0.096595663919263469, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1060.0, , Animal/Human, Unknown, Unknown
7871.518452, -0.16212282510388362, 0.071722548089869095, -0.12657426411581707, Sokol_IBD_dysfunction, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 195.0, , Animal/Human, Unknown, Unknown
2a053aa6b698b680024b67581dd54af9, -0.11814786485048942, 0.00412562285948068, 0.01157184312080153, The study of prokaryotic diversity of a landfill environment using a polyphasic taxonomic approach, ENVO:00000533, landfill, Unknown, Unknown, Unknown, Unknown, 3.0, , Anthropogenic, Unknown, Unknown
Pitt.OW.pos.7028.34344.592404, -0.00097246110790776919, -0.51004825701506096, -0.13711342233821944, LHMP_Pittsburgh, ENVO:00009003, human-associated habitat, ENVO:02000036, saliva, Unknown, Unknown, 2258.0, , Animal/Human, Unknown, Unknown
SA.RS2.2.389068, -0.090905265856971118, 0.024725264433040649, 0.038820023154024941, Resistant Starches Types 2 and 4 Have Differential Effects on the Composition of the Fecal Microbiota in Human Subjects, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 3.0, , Animal/Human, Unknown, Unknown
belly.T7.S5.536400, -0.11810663941098766, 0.0080618735359588092, 0.056181309485697127, Mouse_Decomp_Forensics_2011, ENVO:00000446, terrestrial biome, ENVO:02000037, sebum, ENVO:00009002, mammalia-associated habitat, 2405.0, , Soil, Animal/Human, Unknown
egg.CO.2009.359.712045.739524, -0.10826557590748971, 0.0035356278103399158, 0.0094414626858078041, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 2.0, , Animal/Human, Anthropogenic, Unknown
a7b802c384d4cdc21f3d81fbdd62aac4, -0.10529512039676051, 0.0048774300000073243, 0.0095455417659656445, The study of prokaryotic diversity of a landfill environment using a polyphasic taxonomic approach, ENVO:00000533, landfill, Unknown, Unknown, Unknown, Unknown, 11.0, , Anthropogenic, Unknown, Unknown
891088OR01.485980, 0.011222659416999684, -0.53851029149190666, -0.13101311447757896, LHMP Indiana, ENVO:00009003, human-associated habitat, ENVO:02000036, saliva, Unknown, Unknown, 42521.0, , Animal/Human, Unknown, Unknown
906.Si.7.345488, -0.11369394740490804, 0.0035200448799356113, 0.0092997777493554409, MyD88-dependent signaling modulates virus susceptibility and gut microbial ecology, ENVO:00006776, animal-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 2920.0, , Animal/Human, Unknown, Unknown
egg.AKL.2009.576.712124.739023, -0.10826557590748971, 0.0035356278103399158, 0.0094414626858077971, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 1.0, , Animal/Human, Anthropogenic, Unknown
egg.AKF.2009.388.712058.739346, -0.10826557590748973, 0.0035356278103399158, 0.0094414626858078075, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 1.0, , Animal/Human, Anthropogenic, Unknown
Rcul.5.1078790, -0.11189968977421527, 0.0050079537216629385, 0.01997315331915132, Identification of Household Bacterial Community and Analysis of Species Shared with Human Microbiome, ENVO:00000446, terrestrial biome, ENVO:00000856, city, Unknown, Unknown, 2928.0, , Soil, Anthropogenic, Unknown
E2B01BAL1stRet.481387, 0.048509090268295578, -0.18013096018732888, -0.042363823233924944, Lung_HIV_Microbiome_Project, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 94.0, , Animal/Human, Unknown, Unknown
5b5db5da56616fd234dbbe696eadd2f9, -0.10826557590748971, 0.0035356278103398863, 0.0094414626858078075, Community structure of Bacteria in a methanogenic fermenter of cattle waste and some characteristics of fermentative bacterial isolates, ENVO:00002211, thermophilic anaerobic methanogenic reactor, Unknown, Unknown, Unknown, Unknown, 7.0, , Anthropogenic, Unknown, Unknown
Zambon.Leftpalm.983763, -0.18092700630818248, 0.094145356036006378, -0.12531187447738598, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 22201.0, , Animal/Human, Unknown, Unknown
egg.TN.2009.594.712258.739196, -0.11625243118106467, 0.0062045725837897945, 0.034819799871295992, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 5.0, , Animal/Human, Anthropogenic, Unknown
Balcom.Leftpalm.983713, -0.14149333788723378, 0.05218410652927194, -0.058149506319486025, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 16998.0, , Animal/Human, Unknown, Unknown
H51Kc.735988, -0.086502222607533749, 0.027686947844389315, 0.17202964766736151, Home Life: Factors structuring the bacterial diversity found within and between homes, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00000073, building, Unknown, Unknown, 22013.0, , Soil, Anthropogenic, Unknown
PTAM4.489517, 0.40561614502603333, 0.1259879604066701, -0.036259351616466796, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 503.0, , Anthropogenic, Unknown, Unknown
Bmec10.285904, -0.07001014009369004, 0.037675609246897494, -0.0451594919507858, Delivery mode effects on newborn microbiota, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 1655.0, , Animal/Human, Unknown, Unknown
Janis.Rightpalm.983883, 0.21877280323665244, -0.014439938367591824, 0.10071211791976503, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 18303.0, , Animal/Human, Unknown, Unknown
Bnf6.285919, -0.035722915525162879, 0.0076663245634158023, -0.10179276331311171, Delivery mode effects on newborn microbiota, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 1784.0, , Animal/Human, Unknown, Unknown
S162.141198, 0.39997985683128312, -0.19566438892222088, -0.073755912636624343, The influence of sex handedness and washing on the diversity of hand surface bacteriaS1_V53, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1747.0, , Animal/Human, Unknown, Unknown
Tar.sand.2.686750, -0.12730419820518968, 0.012847568329520586, 0.10783139432877158, Canadian MetaMicroBiome Initiative, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00001998, soil, ENVO:00002875, oil contaminated soil, 127839.0, , Soil, Anthropogenic, Unknown
48a2aa1d1f4857802de541c3d3da78f9, -0.1082655759074897, 0.0035356278103398906, 0.0094414626858077989, Cloned 16S ribosomal RNA gene sequence from direct PCR of activated sludge, ENVO:00002044, sludge, Unknown, Unknown, Unknown, Unknown, 7.0, , Anthropogenic, Unknown, Unknown
E3B07.BAL.A.V1V2.481285, -0.007980319844962773, -0.41137085871575474, -0.11070682722845743, Lung_HIV_Microbiome_Project, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 4596.0, , Animal/Human, Unknown, Unknown
VA18B.994596, 0.064386808983891194, -0.019096263509255761, -0.045844353138263946, The Human Nasal Microbiota and Staphylococcus aureus Carriage, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 319.0, , Animal/Human, Unknown, Unknown
Plaque243.280196, 0.088853083042746681, 0.10635150497358023, 0.067084573993296537, Human oral gut and plaque microbiota in patients with atherosclerosis, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 6510.0, , Animal/Human, Unknown, Unknown
TS27.299223, -0.16855541981205965, 0.13151955266095003, -0.20379744896589347, A core gut microbiome in obese and lean twins, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 8698.0, , Animal/Human, Unknown, Unknown
Pitt.OW.neg.7043.40296.592455, -0.016781361070184152, -0.37699751941346732, -0.092283310461101192, LHMP_Pittsburgh, ENVO:00009003, human-associated habitat, ENVO:02000036, saliva, Unknown, Unknown, 2587.0, , Animal/Human, Unknown, Unknown
NR024A.994574, 0.36439250609594565, 0.13463642878223098, -0.0029809137084162636, The Human Nasal Microbiota and Staphylococcus aureus Carriage, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 53.0, , Animal/Human, Unknown, Unknown
MPK2.660771, 0.4007115121396902, 0.075100195968510239, 0.076979866659660917, Kelley_nicu_contamination, ENVO:00002031, anthropogenic habitat, Unknown, Unknown, Unknown, Unknown, 2567.0, , Anthropogenic, Unknown, Unknown
Tgen.1.1078795, -0.091977414295448909, 0.0071000152889269695, 0.032322939943115914, Identification of Household Bacterial Community and Analysis of Species Shared with Human Microbiome, ENVO:00000446, terrestrial biome, ENVO:00000856, city, Unknown, Unknown, 1480.0, , Soil, Anthropogenic, Unknown
M420A3.140024, 0.43660568889116225, -0.17414817820891312, -0.10157197157904049, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1166.0, , Animal/Human, Unknown, Unknown
100202.518422, -0.1451472740492851, 0.045747359684097676, -0.068796018670507941, Sokol_IBD_dysfunction, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 2881.0, , Animal/Human, Unknown, Unknown
egg.CAM.2010.475.712037.739370, -0.10826557590748971, 0.0035356278103398963, 0.0094414626858077919, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 1.0, , Animal/Human, Anthropogenic, Unknown
81215d8eca0029bd84bfb8b9001eb4b5, -0.11473230907317136, 0.0038893606762883436, 0.01058970363302549, Bacterial Diversity in a Marine Hatchery: Balance Between Pathogenic and Potentially Probiotic Bacterial Strains, ENVO:00000295, fish hatchery, Unknown, Unknown, Unknown, Unknown, 15.0, , Anthropogenic, Unknown, Unknown
NR015A.994688, 0.36219385499851087, 0.087708004358604694, -0.061594059694847658, The Human Nasal Microbiota and Staphylococcus aureus Carriage, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 15.0, , Animal/Human, Unknown, Unknown
E1A05BALB.481230, -0.014603486147408831, -0.43611712883689185, -0.10784845663208664, Lung_HIV_Microbiome_Project, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 540.0, , Animal/Human, Unknown, Unknown
5577L.478429, -0.10826557590748971, 0.0035356278103398954, 0.0094414626858077971, The antibacterial lectin RegIII_ promotes the spatial segregation of microbiota and host in the intestine, ENVO:00006776, animal-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 9.0, , Animal/Human, Unknown, Unknown
674c573e2e8d6df58699497ae952d3a6, -0.10826557590748971, 0.0035356278103398928, 0.0094414626858078075, Facilitation of robust growth of Prochlorococcus colonies and dilute liquid cultures by helper heterotrophic bacteria, ENVO:02000010, organ culture, Unknown, Unknown, Unknown, Unknown, 3.0, , Anthropogenic, Unknown, Unknown
Elmira.Forehead.984078, 0.044593362835146873, 0.0086487312975055165, 0.10678710856313027, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 18032.0, , Animal/Human, Unknown, Unknown
Janis.Mouth.983984, 0.0544834793185376, 0.081559567575996153, 0.16632616731353286, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:02000036, saliva, Unknown, Unknown, 20917.0, , Animal/Human, Unknown, Unknown
e8ef96fad3bfb3632607bb4f4945b592, -0.1113162966259488, 0.0050308589123374756, 0.018245715177598144, Composition and Characterization of Bacterial Communities in Antibiotic Production Wastewater and the Receiving River Using Culture-dependent and -independent Techniques, ID:0000126, river receiving production wastewater, Unknown, Unknown, Unknown, Unknown, 115.0, , Freshwater, Anthropogenic, Unknown
F32Aptl.140820, 0.15573450830504096, 0.098456976194425921, 0.13981482953397018, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000025, sweat, Unknown, Unknown, 686.0, , Animal/Human, Unknown, Unknown
H59Kc.735886, -0.063538369054146449, 0.052980939789029284, 0.23649444328290259, Home Life: Factors structuring the bacterial diversity found within and between homes, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00000073, building, Unknown, Unknown, 21867.0, , Soil, Anthropogenic, Unknown
7016.518555, -0.1714017169398229, 0.077079690087654085, -0.12072836206422047, Sokol_IBD_dysfunction, ENVO:00009003, human-associated habitat, Unknown, Unknown, Unknown, Unknown, 310.0, , Animal/Human, Unknown, Unknown
H55Tv.735907, -0.066345602945536195, -0.00665440906946645, 0.34982487521646671, Home Life: Factors structuring the bacterial diversity found within and between homes, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00000073, building, Unknown, Unknown, 15904.0, , Soil, Anthropogenic, Unknown
5534ee8e77349d8eca1474c20c6e1a26, -0.10826557590748971, 0.0035356278103398963, 0.009441462685807785, Development of the human infant gastrointestinal tract microbiota, ENVO:00006776, animal-associated habitat, Unknown, Unknown, Unknown, Unknown, 2.0, , Animal/Human, Unknown, Unknown
F11Indr.140809, 0.42559541148408281, 0.04555233560764773, -0.0071720636225010292, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 625.0, , Animal/Human, Unknown, Unknown
EKCM9.489514, -0.06460445121263042, 0.03341801030418462, 0.084351015085690553, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 28.0, , Anthropogenic, Unknown, Unknown
S3.141318, 0.043796263553133222, -0.075321305975299985, -0.04990396064249094, The influence of sex handedness and washing on the diversity of hand surface bacteriaS1_V89, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 12.0, , Animal/Human, Unknown, Unknown
S245.280057, -0.078661410638293502, 0.017608822031266826, 0.0052115852281429528, Vaginal microbiome of reproductive age women, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 1688.0, , Animal/Human, Unknown, Unknown
M418H7.140117, 0.37514806061940442, -0.21423274863994929, -0.1466368066256393, Bacterial Community Variation in Human Body Habitats Across Space and Time, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1238.0, , Animal/Human, Unknown, Unknown
H60Do.735986, -0.13163639754963294, 0.031446669501829887, 0.17699483799592314, Home Life: Factors structuring the bacterial diversity found within and between homes, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00000073, building, Unknown, Unknown, 2941.0, , Soil, Anthropogenic, Unknown
TS61.299129, -0.17028671016603644, 0.15449496936674115, -0.23826632885034194, A core gut microbiome in obese and lean twins, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 487.0, , Animal/Human, Unknown, Unknown
MBP4.660768, 0.178267742542741, 0.020821821138908056, 0.033868529862672817, Kelley_nicu_contamination, ENVO:00002031, anthropogenic habitat, Unknown, Unknown, Unknown, Unknown, 1611.0, , Anthropogenic, Unknown, Unknown
egg.NY.2008.482.712011.739504, -0.11139219018486755, 0.0042562751706297832, 0.014562658188350232, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 7.0, , Animal/Human, Anthropogenic, Unknown
MSC8.660757, 0.026593990971879328, 0.059631320429783453, 0.026945208742832127, Kelley_nicu_contamination, ENVO:00002031, anthropogenic habitat, Unknown, Unknown, Unknown, Unknown, 4015.0, , Anthropogenic, Unknown, Unknown
Feces245.280129, -0.14863654126293468, 0.11579985096891628, -0.26887841480869812, Human oral gut and plaque microbiota in patients with atherosclerosis, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 2755.0, , Animal/Human, Unknown, Unknown
Bbo2.285905, -0.080635237921421229, 0.064252458641042273, -0.062269124576800963, Delivery mode effects on newborn microbiota, ENVO:00009003, human-associated habitat, ENVO:02000036, saliva, Unknown, Unknown, 1451.0, , Animal/Human, Unknown, Unknown
egg.CO.2010.632.712351.739043, -0.11037247946431018, 0.0043917085658601134, 0.015206808327272057, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 4.0, , Animal/Human, Anthropogenic, Unknown
57b2ba90064c3de15c3bd8a749b6a20a, -0.10826557590748968, 0.0035356278103398781, 0.0094414626858078023, Phaeobacter and Ruegeria species of the Roseobacter clade colonize separate niches in a turbot Scophthalmus maximus rearing farm and antagonize Vibrio anguillarum under different growth conditions, ENVO:00002183, oil tank, Unknown, Unknown, Unknown, Unknown, 11.0, , Anthropogenic, Unknown, Unknown
H43Kc.735972, -0.059466614159814579, 0.023263581314016759, 0.27083338042604749, Home Life: Factors structuring the bacterial diversity found within and between homes, ENVO:00000876, Temperate broadleaf and mixed forest biome, ENVO:00000073, building, Unknown, Unknown, 23096.0, , Soil, Anthropogenic, Unknown
S36.141298, 0.38914166128779709, -0.094012477704239594, -0.017961024926207294, The influence of sex handedness and washing on the diversity of hand surface bacteriaS1_V96, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 1839.0, , Animal/Human, Unknown, Unknown
Barefoot.Stool.984056, 0.23462453434308669, 0.090959047604959167, 0.062749405138257178, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 24744.0, , Animal/Human, Unknown, Unknown
S086.279992, -0.087430597549274569, 0.011015048528475622, 0.013649540091753801, Vaginal microbiome of reproductive age women, ENVO:00009003, human-associated habitat, ENVO:02000040, mucus, Unknown, Unknown, 1181.0, , Animal/Human, Unknown, Unknown
Azelea.Leftpalm.983955, -0.057745724343578199, -0.19988516593546671, -0.0065190258434921688, Personal Genome Project, ENVO:00009003, human-associated habitat, ENVO:02000037, sebum, Unknown, Unknown, 25987.0, , Animal/Human, Unknown, Unknown
EKCM2.489495, 0.44564785620852193, 0.084767406205325926, -0.11088605248787925, Microbial biogeography of public restroom surfaces, ENVO:00000856, city, ENVO:00000073, building, Unknown, Unknown, 3779.0, , Anthropogenic, Unknown, Unknown
egg.TN.2010.440.712299.739640, -0.1082655759074897, 0.0035356278103398928, 0.0094414626858077971, Spatial and Temporal Variation in Nest and Egg Bacteria of Wild Birds, ENVO:02000057, hens egg product, Unknown, Unknown, Unknown, Unknown, 1.0, , Animal/Human, Anthropogenic, Unknown
CRBM.03.284367, -0.15142888285290959, 0.14586212913093446, -0.21562836993916429, Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans, ENVO:00009003, human-associated habitat, ENVO:00002003, feces, Unknown, Unknown, 68.0, , Animal/Human, Unknown, Unknown
